15.8.2020-21:41:24//grupajderiAssembleBot left LOL(Thy Server)
16.8.2020-3:48:1//grupajderiAssembleBot joined General(botTestServer)
16.8.2020-3:48:6//grupajderiAssembleBot left General(botTestServer)
16.8.2020-3:48:20//grupajderiAssembleBot joined General(botTestServer)
16.8.2020-3:48:23//grupajderiAssembleBot left General(botTestServer)
16.8.2020-3:48:33//grupajderiAssembleBot joined General(botTestServer)
16.8.2020-3:48:36//grupajderiAssembleBot left General(botTestServer)
16.8.2020-4:2:32//solimm4sks left General(botTestServer)
16.8.2020-4:3:54//solimm4sks joined LOL(Thy Server)
16.8.2020-4:4:11//solimm4sks left LOL(Thy Server)
17.8.2020-1:51:47//solimm4sks joined LOL(Thy Server)
17.8.2020-1:52:47//illneso joined LOL(Thy Server)
17.8.2020-1:52:53//illneso left LOL(Thy Server)
17.8.2020-1:52:56//illneso joined LOL(Thy Server)
17.8.2020-1:53:4//grupajderiAssembleBot joined LOL(Thy Server)
17.8.2020-1:53:8//grupajderiAssembleBot left LOL(Thy Server)
17.8.2020-1:53:8//grupajderiAssembleBot joined LOL(Thy Server)
17.8.2020-1:53:10//grupajderiAssembleBot left LOL(Thy Server)
17.8.2020-1:53:25//Carklju joined LOL(Thy Server)
17.8.2020-2:35:3//solimm4sks left LOL(Thy Server)
17.8.2020-2:35:5//solimm4sks joined LOL(Thy Server)
17.8.2020-2:35:25//solimm4sks left LOL(Thy Server)
17.8.2020-2:35:25//solimm4sks joined LOL(Thy Server)
17.8.2020-2:39:1//illneso left LOL(Thy Server)
17.8.2020-3:1:39//solimm4sks left LOL(Thy Server)
17.8.2020-3:1:40//solimm4sks joined LOL(Thy Server)
17.8.2020-3:15:7//solimm4sks left LOL(Thy Server)
17.8.2020-3:15:7//Carklju left LOL(Thy Server)
17.8.2020-3:15:8//Mr. Janja left LOL(Thy Server)
17.8.2020-11:50:36//Mr. Janja joined Chill(Thy Server)
17.8.2020-11:50:50//illneso joined Chill(Thy Server)
17.8.2020-12:38:47//Vanjanja joined Chill(Thy Server)
17.8.2020-12:38:56//Carklju joined Chill(Thy Server)
17.8.2020-12:58:0//Urosh joined Chill(Thy Server)
17.8.2020-13:9:45//jarkela joined Chill(Thy Server)
